Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
0	-205.0013	-162.9588	-42.0425	0.275406	0.1492	0.0330793	0.0696226	0.042698	0.0751255	0.469102	0.264306	0.738491	1.34836	0.222068
10	-209.8228	-163.1238	-46.69897	0.346133	0.0262847	0.107014	0.0648745	0.0371174	0.0379032	0.473448	0.163091	0.377136	1.63117	0.194959
20	-220.2751	-160.9945	-59.28058	0.391874	0.0970678	0.000203359	0.00013818	0.0185494	0.117739	0.356706	0.214979	1.19688	2.09503	0.231312
30	-209.4352	-163.089	-46.34622	0.214014	0.0332499	0.00129691	0.00402716	0.00986788	0.0634871	0.582135	0.0434311	0.473749	2.1449	0.0758928
40	-211.8011	-164.5567	-47.2444	0.253058	0.10316	0.00221007	0.00227582	0.00613168	0.109549	0.332229	0.0641257	0.815893	1.44114	0.168942
50	-208.4577	-162.7376	-45.72007	0.180628	0.0915594	0.0322484	0.00921789	0.026388	0.0486381	0.549803	0.0765747	0.0959382	2.23473	0.150438
60	-206.5956	-159.5232	-47.07238	0.298838	0.0948319	0.0691791	0.0734242	0.0230981	0.217363	0.283072	0.233635	0.793697	1.30936	0.157648
70	-201.2169	-161.5155	-39.70135	0.380634	0.045438	0.0195601	0.0259806	0.160438	0.309039	0.176249	0.384386	0.741894	1.87233	0.156695
80	-201.1396	-165.4027	-35.7369	0.0955714	0.10566	0.0706796	0.0201364	0.0602475	0.356175	0.146301	0.173216	0.505565	2.93271	0.138135
90	-202.2925	-160.6217	-41.67083	0.124351	0.0566387	0.0646125	0.126465	0.0326559	0.402292	0.218252	0.126771	0.615971	2.31491	0.194541
100	-202.6852	-162.3313	-40.35388	0.0741916	0.15106	0.053171	0.039091	0.0498543	0.281442	0.182293	0.0478362	0.986442	2.54896	0.0999864
110	-208.7325	-165.2972	-43.43539	0.0609198	0.0838232	0.114113	0.0194211	0.0387039	0.36779	0.169796	0.23095	1.35917	1.58858	0.314416
120	-203.5034	-162.9799	-40.52346	0.00275632	0.0553197	0.064226	0.0306376	0.142937	0.32196	0.116746	0.249296	1.72806	1.14297	0.267243
130	-205.7708	-164.481	-41.28988	0.051457	0.0159388	0.00500949	0.0172996	0.0744909	0.168295	0.151575	0.374915	1.10148	1.05646	0.256582
140	-207.5363	-158.1978	-49.33854	0.00106697	0.00784951	0.0416814	0.0178717	0.0650419	0.284887	0.344391	0.062768	1.16349	2.14508	0.151975
150	-215.2812	-160.975	-54.30619	0.000760765	0.0194523	0.00179557	0.00105957	0.0213241	0.162824	0.829714	0.0544425	1.59179	3.09462	0.24908
160	-211.8008	-158.5813	-53.21955	0.000782967	0.00318718	0.0246214	0.0131365	0.0324607	0.226672	0.502405	0.0195069	1.10384	1.91945	0.369547
170	-205.3855	-159.8075	-45.57802	0.00231193	0.00190724	0.00708	0.00136437	0.0510908	0.249136	0.343744	0.0576781	0.861136	1.54539	0.681077
180	-205.7408	-160.8678	-44.87301	0.00560128	0.00293013	0.00353622	0.0101076	0.0447289	0.412943	0.228294	0.0943529	0.370275	1.27133	0.458109
190	-208.2452	-160.4878	-47.75739	0.000690187	0.00300663	0.01082	0.0112663	0.0429124	0.452092	0.136751	0.0581849	0.557215	0.794295	0.5788
