Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-205.0013	-162.9588	-42.0425	0.00321962	0.00640029	0.00847507	0.0503772	0.0844547	0.130707	0.366019	0.846719	0.689432	0.101669	0.896469
10	-209.8228	-163.1238	-46.69897	0.00592159	0.00470194	0.000862071	0.002336	0.145163	0.0852963	0.456936	0.711622	0.495051	0.409867	0.731324
20	-220.2751	-160.9945	-59.28058	0.0016359	0.0015018	0.000939754	8.2603e-05	0.0882146	0.0907015	0.365364	0.789548	1.11598	0.267556	0.951321
30	-209.4352	-163.089	-46.34622	0.000583871	0.000903131	0.00410556	0.0103058	0.0529491	0.0955242	0.381437	0.452874	0.519008	0.196282	0.84625
40	-211.8011	-164.5567	-47.2444	0.00534731	0.0357201	0.0617898	0.0351952	0.00910313	0.0334114	0.248017	0.532004	0.414044	0.161667	0.814635
50	-208.4577	-162.7376	-45.72007	0.0110615	0.00465143	0.0193967	0.0342799	0.0223597	0.0815176	0.238726	0.709292	0.38874	0.160995	0.924765
60	-206.5956	-159.5232	-47.07238	0.000851809	0.00199712	0.00509619	0.00641977	0.269894	0.173073	0.227198	0.718527	0.688775	0.100922	0.703618
70	-201.2169	-161.5155	-39.70135	0.0133878	0.00774257	0.0116566	0.0146827	0.208852	0.180001	0.204811	0.917643	0.638848	0.62907	0.721282
80	-201.1396	-165.4027	-35.7369	0.00928465	0.0233822	0.019764	0.0286846	0.0473914	0.154272	0.247061	0.602156	0.429958	0.766613	0.95565
90	-202.2925	-160.6217	-41.67083	0.000879528	0.00274043	0.00878341	0.0125011	0.154845	0.119272	0.295127	0.598157	0.541519	1.3302	0.652642
100	-202.6852	-162.3313	-40.35388	0.00433796	0.0120575	0.0270262	0.0394692	0.0529285	0.10427	0.295454	0.476698	0.962466	1.43161	0.575695
110	-208.7325	-165.2972	-43.43539	0.011281	0.00208952	0.0046945	0.0173576	0.0566055	0.0348834	0.368835	0.643796	1.23163	1.60505	0.385347
120	-203.5034	-162.9799	-40.52346	0.00162698	0.0010651	0.0080751	0.0164594	0.0521617	0.0653728	0.218609	0.657112	1.55659	0.701583	0.496563
130	-205.7708	-164.481	-41.28988	6.89464e-05	0.000166156	0.000273134	0.00598837	0.0200089	0.0138283	0.0713525	0.743931	0.938627	0.53256	0.536009
140	-207.5363	-158.1978	-49.33854	0.00018539	0.000107625	0.000387399	0.00148251	0.00648212	0.0506862	0.184522	0.691226	0.846477	0.37029	1.07104
150	-215.2812	-160.975	-54.30619	0.000426591	0.000250037	0.00186425	0.00345488	0.0143565	0.0274642	0.319953	0.861811	0.862825	1.10301	1.23479
160	-211.8008	-158.5813	-53.21955	7.56622e-05	7.37854e-05	7.93606e-06	4.76972e-05	0.0092415	0.0144324	0.174956	0.738052	0.685401	0.348207	1.19314
170	-205.3855	-159.8075	-45.57802	0.000940246	0.000284478	0.000325561	0.00111538	0.00648336	0.0412472	0.234761	0.538047	0.595596	0.942122	0.922465
