Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]
0	-190.5874	-165.5024	-25.08505	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
10	-207.8338	-168.2063	-39.6275	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
20	-200.0999	-167.5622	-32.53771	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
30	-197.0866	-167.6987	-29.38794	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
40	-192.4468	-167.4988	-24.94798	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
50	-201.5309	-167.4373	-34.09351	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
60	-201.8523	-172.8606	-28.99168	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
70	-209.1868	-169.2113	-39.97549	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
80	-210.4873	-164.92	-45.56735	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
90	-202.5105	-163.3628	-39.14764	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
100	-209.7327	-168.9078	-40.82483	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
110	-215.0582	-168.5304	-46.52774	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
120	-204.4822	-161.8674	-42.61478	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
130	-207.0716	-163.7787	-43.29297	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
140	-205.7342	-164.3942	-41.34003	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
150	-203.7309	-159.9441	-43.78681	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
160	-198.9994	-161.8953	-37.10404	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
170	-204.5578	-169.9874	-34.57035	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
180	-200.7613	-161.5412	-39.22016	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
190	-191.3278	-163.2747	-28.05306	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
200	-195.2969	-162.2952	-33.00165	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
210	-199.5341	-160.7614	-38.77269	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
220	-207.501	-161.8125	-45.68849	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
230	-205.9873	-165.7825	-40.20481	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
240	-204.7043	-162.8171	-41.88725	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
250	-202.3192	-160.2693	-42.04993	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
260	-207.4646	-166.764	-40.70053	7.96902	15.938	23.9071	31.8761	39.8451	47.8141	55.7832	63.7522	71.7212	79.6902
