Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
0	-198.3771	-168.9492	-29.42788	0.0722451	0.0545168	0.0374666	0.0278119	0.0192732	0.0137364	0.0270589	0.0249496	0.0366653	0.0345326	0.0214117
10	-200.1455	-170.6976	-29.44794	0.0795337	0.0906905	0.0494371	0.0454069	0.0308327	0.028517	0.0363301	0.0268034	0.0350992	0.0295745	0.0435776
20	-192.825	-170.5689	-22.25605	0.0416751	0.0460187	0.0498546	0.0462656	0.0409203	0.0410401	0.0468527	0.0412381	0.055222	0.0581901	0.0574103
30	-213.1371	-170.0937	-43.04342	0.00599968	0.0291357	0.196102	0.0799302	0.0583133	0.0684108	0.00731135	0.0197226	0.216358	0.0479946	0.0730903
40	-207.008	-169.6884	-37.31964	0.0273739	0.0561614	0.233268	0.0601306	0.0492188	0.016992	0.0170166	0.00289875	0.0174337	0.125974	0.0848963
50	-192.7474	-168.7139	-24.03347	0.0833031	0.0701516	0.071033	0.0475852	0.0472506	0.0681256	0.0635746	0.0343287	0.0368369	0.041234	0.041561
60	-182.694	-170.6744	-12.01964	0.0517145	0.0485673	0.0487366	0.0518804	0.0474947	0.0490886	0.0486641	0.047519	0.0497221	0.0507534	0.0520054
70	-203.7995	-168.8956	-34.90389	0.0366683	0.0617632	0.060372	0.0362338	0.0557546	0.0567707	0.0962047	0.0919967	0.056851	0.0593938	0.102247
80	-197.9455	-170.6591	-27.28642	0.0606578	0.0565835	0.064452	0.0839334	0.0974729	0.079353	0.0812224	0.0897006	0.0731357	0.120639	0.102266
90	-195.9954	-168.4975	-27.49787	0.0656179	0.0812737	0.0523275	0.0638968	0.130574	0.089052	0.0692583	0.0611631	0.0747273	0.0901552	0.144488
100	-188.8585	-167.2523	-21.60624	0.0489521	0.0565295	0.0565188	0.0655884	0.0584661	0.0655635	0.058909	0.0620821	0.0704445	0.0487634	0.0696742
110	-199.2215	-169.4614	-29.76013	0.0444381	0.0578601	0.101025	0.076818	0.055805	0.0619719	0.0839328	0.0892038	0.0698015	0.0858826	0.0677855
120	-206.4973	-164.985	-41.51226	0.0433191	0.147256	0.0276951	0.0553932	0.0241732	0.098266	0.072212	0.0430893	0.427686	0.14179	0.0529511
130	-196.3852	-167.7373	-28.64793	0.0285803	0.0737277	0.117489	0.118122	0.0767238	0.0565096	0.123923	0.107025	0.156323	0.190132	0.277374
140	-197.745	-169.6437	-28.10134	0.0597401	0.0845392	0.110401	0.129783	0.0877616	0.0768486	0.0632387	0.0626601	0.134934	0.187666	0.24842
150	-190.9041	-167.8882	-23.01592	0.0524001	0.061294	0.0742751	0.0859634	0.0889096	0.0668243	0.0690103	0.100107	0.0956741	0.0962971	0.0808072
160	-197.6766	-167.1049	-30.57168	0.12598	0.0931036	0.0652583	0.0894022	0.0839631	0.0541775	0.066145	0.085962	0.0701223	0.0436089	0.0789467
170	-180.2831	-167.2304	-13.0527	0.0451439	0.0468368	0.0465554	0.0440673	0.0517957	0.049368	0.0492558	0.0490812	0.0472648	0.0436855	0.0392184
